epoch,train_total,val_total,train_hard,train_soft,train_feat,val_hard,val_soft,val_feat
1,0.35086455976963044,0.27377059283079924,0.27094818305969237,0.14506106650829315,0.39227502369880674,0.16912109349612836,0.23966841178911705,0.2782843306108757
2,0.25878104162216187,0.2374567472272449,0.1942319558262825,0.15860382670164108,0.25079173588752746,0.1465086567181128,0.24943440711056744,0.20023453290815707
3,0.23493809294700624,0.2576652252011829,0.18064337784051895,0.15404133361577987,0.207584419965744,0.18962474912405014,0.21301480631033579,0.2034115316691222
4,0.2306293638944626,0.21934917293213033,0.1779026416540146,0.15375888407230376,0.19989948999881743,0.15261195572438063,0.19485928532150057,0.1802100544726407
5,0.21941829538345337,0.21279481108541842,0.16623162865638733,0.15421286463737488,0.1893076457977295,0.15064906439295522,0.17819906633209298,0.1796024767337022
6,0.2141584986448288,0.21044224169519213,0.15958859688043595,0.15485526835918426,0.18663299250602722,0.1544939042241485,0.1655755752214679,0.17541277905305228
7,0.21554416596889495,0.20710203989788337,0.1626791176199913,0.15305433088541032,0.18584160876274108,0.14405409881362208,0.18069624790438898,0.17351764606104958
8,0.209621994972229,0.20458838453999273,0.1545512300133705,0.15507652580738068,0.18304391551017762,0.1352670838435491,0.19384690512109687,0.1724911646710502
9,0.21614722764492034,0.2085099071264267,0.16312323647737503,0.1564985983967781,0.18337126660346986,0.14958930567458825,0.17134380947660516,0.17464749625435583
10,0.20348272597789765,0.20571603874365488,0.14788224458694457,0.1551360559463501,0.17808111870288848,0.1501206206502738,0.16132697959740958,0.17411168913046518
11,0.20256155800819398,0.20248966470912652,0.1474921652674675,0.1543235305547714,0.17673327243328094,0.14351160493161944,0.16918662466384746,0.17091850494896924
12,0.2071930638551712,0.20403736940136663,0.15316721606254577,0.15329714435338973,0.17995621836185455,0.14270540713160126,0.1749953853863257,0.17214989220654522
13,0.20241096210479737,0.2271384729279412,0.1471108696460724,0.15581845319271087,0.17562604939937593,0.17128100163406795,0.16609842799327992,0.19137413579004783
14,0.20287501633167268,0.22180201609929404,0.1473033813238144,0.15652375781536101,0.17601839768886565,0.16207531977582862,0.1732083277569877,0.18795597001358313
15,0.20321266186237336,0.2055138228116212,0.14878802448511125,0.1539504635334015,0.17625301039218902,0.15281664469727763,0.1561002849980637,0.17237362210397367
16,0.19570287561416627,0.20221189657847086,0.13947855204343795,0.15415089428424836,0.17274206006526946,0.14473912837328734,0.16613149366996907,0.1701835051730827
17,0.19482915556430816,0.21892968316872916,0.13762641990184785,0.15665761053562163,0.1716445837020874,0.16485016958581078,0.16841559995103766,0.17669960414921795
18,0.19590279078483583,0.2101816799905565,0.14021888887882233,0.1544284074306488,0.17140348184108734,0.15407218425362199,0.1679802597672851,0.17312356498506334
19,0.19327030694484712,0.2041594739313479,0.1362568646669388,0.1549462298154831,0.1713554368019104,0.14711696875316124,0.1661397240780018,0.17111891839239332
20,0.1954909110069275,0.20802228539078324,0.13926605182886123,0.15480955827236176,0.17187267911434173,0.15301486877379594,0.1639911190227226,0.17238180780852283
21,0.19112806034088134,0.2016729673853627,0.13360405707359313,0.15589447724819183,0.169456249833107,0.14429453870764486,0.1657923460006714,0.16976361087074987
22,0.19178129494190216,0.2000002066294352,0.1342841765284538,0.15619659316539763,0.16974463748931884,0.1428128751339736,0.16453326410717434,0.16890403573159818
23,0.19285257506370546,0.20084308474152177,0.13645056945085526,0.15427029609680176,0.1701869524717331,0.14432796256409752,0.16419542166921827,0.16851627109227357
24,0.19127055275440216,0.20306589702765146,0.13379706430435181,0.15577307558059691,0.1696022754907608,0.15013907104730606,0.1570907003349728,0.1694711176333604
25,0.1940180196762085,0.2017297010730814,0.1379565577507019,0.15365845787525176,0.1711696355342865,0.14366057929065493,0.16797177714330178,0.16925253525928216
26,0.18998811209201813,0.20046843588352203,0.1321211830973625,0.15631387555599213,0.16869705963134765,0.14158100414055366,0.16900076744733034,0.16887166102727255
27,0.19430130219459535,0.200303903332463,0.1379909075498581,0.15480426657199858,0.17088794577121735,0.14243212535425467,0.16626843202997138,0.16906961136394077
28,0.18947327971458436,0.19931532001053845,0.13181806403398513,0.15553024923801423,0.16847185754776,0.14249761430201707,0.1632488000172156,0.16864116489887238
29,0.1887845323085785,0.20119966235425737,0.1314552181959152,0.15456843900680542,0.16798448753356934,0.14334962323859887,0.16759387486510807,0.16858920234221
30,0.1889106639623642,0.2000175388874831,0.13082559317350387,0.1553105731010437,0.16913191390037535,0.14188003843581234,0.16692926651901668,0.16874242215244858
31,0.18903130066394805,0.19968275118757178,0.13135064220428466,0.1546740289926529,0.16894546926021575,0.14226680276570497,0.16518256620124536,0.16847072486524228
32,0.18837838053703307,0.19948601777906771,0.13017504179477693,0.15640887320041658,0.16777728414535523,0.14134358200762007,0.1666860552849593,0.16846563473895745
33,0.19036487221717835,0.20022335207020794,0.13276888364553452,0.15555644071102143,0.169199059009552,0.1439862565861808,0.16291534459149395,0.16852788351200246
34,0.18747535860538483,0.19961534495706912,0.12950697481632234,0.15531881523132324,0.167416100025177,0.1406872217301969,0.1682429368849154,0.16887134975857204
35,0.18891543257236482,0.19952369895246294,0.13045984983444214,0.15727043652534484,0.168041344165802,0.14209822675696127,0.1648578886632566,0.16865857221462108
